시도,시군구,업종,월구분,사업자수,매출액(원)
강원특별자치도,강릉시,가전제품유통업,전월,655,1988733134
강원특별자치도,강릉시,가전제품유통업,당월,647,1951871451
강원특별자치도,강릉시,건설업,전월,1094,6300784187
강원특별자치도,강릉시,건설업,당월,1093,6612646162
강원특별자치도,강릉시,경비·청소용역업,전월,1095,19302616421
강원특별자치도,강릉시,경비·청소용역업,당월,1096,19529923064
강원특별자치도,강릉시,광고업,전월,766,2661342484
강원특별자치도,강릉시,광고업,당월,759,2757765299
강원특별자치도,강릉시,광업,전월,438,4499861551
강원특별자치도,강릉시,광업,당월,444,4705890332
강원특별자치도,강릉시,교육서비스업,전월,142,2072507994
강원특별자치도,강릉시,교육서비스업,당월,143,2289334884
강원특별자치도,강릉시,금융업,전월,369,1253413880
강원특별자치도,강릉시,금융업,당월,362,1198392108
강원특별자치도,강릉시,노래연습장업,전월,860,14541447036
강원특별자치도,강릉시,노래연습장업,당월,850,14948995774
강원특별자치도,강릉시,농업,전월,1075,9723744619
강원특별자치도,강릉시,농업,당월,1091,9945512084
강원특별자치도,강릉시,데이터서비스업,전월,904,15590792721
강원특별자치도,강릉시,데이터서비스업,당월,901,14790927525
강원특별자치도,강릉시,도소매업,전월,1118,15893405652
강원특별자치도,강릉시,도소매업,당월,1129,17233360584
강원특별자치도,강릉시,디자인업,전월,1220,8773289962
강원특별자치도,강릉시,디자인업,당월,1242,9828041979
강원특별자치도,강릉시,물류창고업,전월,77,1374068024
강원특별자치도,강릉시,물류창고업,당월,77,1525672698
강원특별자치도,강릉시,미용업,전월,973,10019625138
강원특별자치도,강릉시,미용업,당월,963,9691581780
강원특별자치도,강릉시,법무·회계서비스업,전월,445,6201424268
강원특별자치도,강릉시,법무·회계서비스업,당월,443,6587592784
강원특별자치도,강릉시,병원·의원업,전월,522,3678030066
강원특별자치도,강릉시,병원·의원업,당월,522,3922833514
강원특별자치도,강릉시,보건업,전월,312,1866157939
강원특별자치도,강릉시,보건업,당월,310,1901893014
강원특별자치도,강릉시,보험업,전월,473,6411312884
강원특별자치도,강릉시,보험업,당월,478,6345203385
강원특별자치도,강릉시,부동산업,전월,516,6626310556
강원특별자치도,강릉시,부동산업,당월,520,6934899414
강원특별자치도,강릉시,사회복지서비스업,전월,1124,16216593874
강원특별자치도,강릉시,사회복지서비스업,당월,1108,17367269055
강원특별자치도,강릉시,서비스업,전월,665,11402967665
강원특별자치도,강릉시,서비스업,당월,660,10836375242
강원특별자치도,강릉시,세탁업,전월,1153,15934806566
강원특별자치도,강릉시,세탁업,당월,1172,15542133713
강원특별자치도,강릉시,소프트웨어개발업,전월,995,16701489128
강원특별자치도,강릉시,소프트웨어개발업,당월,1007,18074545096
강원특별자치도,강릉시,수도·하수·폐기물처리업,전월,562,7845016308
강원특별자치도,강릉시,수도·하수·폐기물처리업,당월,563,7749774446
강원특별자치도,강릉시,숙박업,전월,107,290110349
강원특별자치도,강릉시,숙박업,당월,106,278116402
강원특별자치도,강릉시,식품제조업,전월,935,4128282616
강원특별자치도,강릉시,식품제조업,당월,946,4181980675
강원특별자치도,강릉시,약국업,전월,1160,19432105314
강원특별자치도,강릉시,약국업,당월,1160,20317423585
강원특별자치도,강릉시,어업,전월,1280,17092531817
강원특별자치도,강릉시,어업,당월,1295,16372495723
강원특별자치도,강릉시,여행업,전월,78,596111659
강원특별자치도,강릉시,여행업,당월,79,654754306
강원특별자치도,강릉시,연구개발업,전월,1257,10525016986
강원특별자치도,강릉시,연구개발업,당월,1277,10844229395
강원특별자치도,강릉시,영상·방송업,전월,881,12553234466
강원특별자치도,강릉시,영상·방송업,당월,885,11978013275
강원특별자치도,강릉시,예술·스포츠·여가서비스업,전월,1168,17242838425
강원특별자치도,강릉시,예술·스포츠·여가서비스업,당월,1148,16621043623
강원특별자치도,강릉시,온라인쇼핑업,전월,1030,13768958159
강원특별자치도,강릉시,온라인쇼핑업,당월,1035,14403756173
강원특별자치도,강릉시,운수업,전월,1308,14025196787
강원특별자치도,강릉시,운수업,당월,1288,14086095685
강원특별자치도,강릉시,음식점업,전월,724,1706865154
강원특별자치도,강릉시,음식점업,당월,713,1782992755
강원특별자치도,강릉시,임업,전월,770,5676153029
강원특별자치도,강릉시,임업,당월,758,5889728952
강원특별자치도,강릉시,자동차판매·정비업,전월,1231,3240584242
강원특별자치도,강릉시,자동차판매·정비업,당월,1247,3489592120
강원특별자치도,강릉시,전기·가스·증기·공급업,전월,439,3554035570
강원특별자치도,강릉시,전기·가스·증기·공급업,당월,436,3525321231
강원특별자치도,강릉시,전문서비스업,전월,1206,15940020755
강원특별자치도,강릉시,전문서비스업,당월,1195,16426375187
강원특별자치도,강릉시,정보통신업,전월,752,3352896556
강원특별자치도,강릉시,정보통신업,당월,754,3507356762
강원특별자치도,강릉시,제과·베이커리업,전월,371,1423032415
강원특별자치도,강릉시,제과·베이커리업,당월,374,1456586128
강원특별자치도,강릉시,제조업,전월,1349,5199668315
강원특별자치도,강릉시,제조업,당월,1332,4935838273
강원특별자치도,강릉시,출판업,전월,122,1206314469
강원특별자치도,강릉시,출판업,당월,120,1191997448
강원특별자치도,강릉시,커피전문점업,전월,141,1729223628
강원특별자치도,강릉시,커피전문점업,당월,141,1645009679
강원특별자치도,강릉시,패션·의류제조업,전월,573,3067486761
강원특별자치도,강릉시,패션·의류제조업,당월,579,3194277169
강원특별자치도,강릉시,편의점업,전월,22,384614675
강원특별자치도,강릉시,편의점업,당월,22,404184849
강원특별자치도,강릉시,학원업,전월,372,6381303414
강원특별자치도,강릉시,학원업,당월,367,6257093729
강원특별자치도,강릉시,헬스·피트니스업,전월,1336,4132690113
강원특별자치도,강릉시,헬스·피트니스업,당월,1349,4329778446
강원특별자치도,강릉시,화장품·뷰티업,전월,426,3392661064
강원특별자치도,강릉시,화장품·뷰티업,당월,427,3397118308
강원특별자치도,고성군,가전제품유통업,전월,238,2739613489
강원특별자치도,고성군,가전제품유통업,당월,237,2681851325
